savi_id_source,Base Organization,savi_id_dest,Referral To Organization,"""Referral From"" Organization"
867555,CHIP,885447,Reuben Engagement Center,
867555,CHIP,100052,Street Reach Indy,
867555,CHIP,865245,Midtown Community Mental Health Center,
867555,CHIP,862972,Salvation Army,
867555,CHIP,100053,Valle Vista,
867555,CHIP,883950,Fairbanks Hospital,
867555,CHIP,100054,Poorhouse,
868200,Eskenazi,100002,Clean Slate,
868200,Eskenazi,868200,Eskenazi Primary Care,
868200,Eskenazi,883950,Fairbanks Hospital,
868200,Eskenazi,867607,IU-Health Methodist,
868200,Eskenazi,865245,Midtown Community Health,
868200,Eskenazi,100055,RecoveryWorks (housing),
868200,Eskenazi,863327,Salvation Army Harbor Light,
868200,Eskenazi,100053,Valle Vista,
868200,Eskenazi,885447,Reuben Engagement Center,
868200,Eskenazi,863958,Talbot House,
868200,Eskenazi,867124,Behavioral Health Team/Marion County Jail,
868200,Eskenazi,867125,Behavioral Health Team/Marion County Jail,
867124,Behavioral Health Team/Marion County Jail,868200,Eskenazi,
867125,Behavioral Health Team/Marion County Jail,868200,Eskenazi,
100056,Drug Free Marion County,100057,"American Behavioral Counseling, LLC",
100056,Drug Free Marion County,100076,Bridges of Hope LLC,
100056,Drug Free Marion County,100002,Clean Slate Centers,
100056,Drug Free Marion County,867349,Emberwood Center,
100056,Drug Free Marion County,100058,Hickory House,
100056,Drug Free Marion County,883956,Indianapolis Counseling Center,
100056,Drug Free Marion County,867607,IU Health-Methodist-Adolescent Chemical Dependency IOP,
100056,Drug Free Marion County,883927,Life Recovery Center,
100056,Drug Free Marion County,100059,Lucina Treatment Center,
100056,Drug Free Marion County,863327,Salvation Army Harbor Light,
100056,Drug Free Marion County,868231,Wheeler Mission-Addiction Recovery Program,
100039,IEMS,100060,Eskenazi/Project POIN,
100061,Marion County 911,100039,IEMS,
863212,Indiana State Department of Health,867623,Indiana Poison Center,
100051,Wellness Council,883950,Richard M. Fairbanks Hospital,
100051,Wellness Council,868200,Eskenazi Health,
100051,Wellness Council,865611,Mental Health Association of Indiana,
864300,IMPD,100041,Marion County Drug Treatment Court,
864300,IMPD,885447,Reuben Engagement Center,
864300,IMPD,867548,Horizon House,
864300,IMPD,863327,Salvation Army Harbor Light,
864300,IMPD,865611,Mental Health of America,
864303,IMPD,100041,Marion County Drug Treatment Court,
864303,IMPD,885447,Reuben Engagement Center,
864303,IMPD,867548,Horizon House,
864303,IMPD,863327,Salvation Army Harbor Light,
864303,IMPD,865611,Mental Health of America,
863277,IMPD,100041,Marion County Drug Treatment Court,
863277,IMPD,885447,Reuben Engagement Center,
863277,IMPD,867548,Horizon House,
863277,IMPD,863327,Salvation Army Harbor Light,
863277,IMPD,865611,Mental Health of America,
864297,IMPD,100041,Marion County Drug Treatment Court,
864297,IMPD,885447,Reuben Engagement Center,
864297,IMPD,867548,Horizon House,
864297,IMPD,863327,Salvation Army Harbor Light,
864297,IMPD,865611,Mental Health of America,
864294,IMPD,100041,Marion County Drug Treatment Court,
864294,IMPD,885447,Reuben Engagement Center,
864294,IMPD,867548,Horizon House,
864294,IMPD,863327,Salvation Army Harbor Light,
864294,IMPD,865611,Mental Health of America,
867335,Marion County Public Health Dept,863327,Salvation Harbor Light,
867335,Marion County Public Health Dept,883950,Richard M. Fairbanks Hospital,
867335,Marion County Public Health Dept,863426,Midtown Mental Health Addiction Services,
867335,Marion County Public Health Dept,867109,Community East,
867335,Marion County Public Health Dept,100053,Valle Vista,
100037,IN Recovery Alliance,100053,Valle Vista,
100037,IN Recovery Alliance,100063,Recovery Matters,
100037,IN Recovery Alliance,100002,Clean Slate,
100037,IN Recovery Alliance,883950,Fairbanks Hospital,
100037,IN Recovery Alliance,100064,Monroe Co. Opioid Commission,
100037,IN Recovery Alliance,100033,Indiana Harm Reduction Coalition,
100037,IN Recovery Alliance,868231,Wheeler Mission,
100037,IN Recovery Alliance,100065,The Rise,
100037,IN Recovery Alliance,100066,Middle Way House,
100037,IN Recovery Alliance,100067,Protected Worker Project,
100037,IN Recovery Alliance,100068,New Hope Family Shelter,
100037,IN Recovery Alliance,100069,Stepping Stones,
100037,IN Recovery Alliance,100070,A Friend's Place,
100037,IN Recovery Alliance,100071,Community Kitchen,
100037,IN Recovery Alliance,100072,IU Health/Positive Link,
100037,IN Recovery Alliance,100073,Volunteers in Medicine,
100037,IN Recovery Alliance,100074,Bloomington Housing Authority,
440138212,Marion County Prosecutor's Office,100041,Marion County Drug Treatment Court,
100041,Marion County Drug Treatment Court,863327,Salvation Army Harbor Light,
100041,Marion County Drug Treatment Court,100053,Valle Vista,
100041,Marion County Drug Treatment Court,883864,VOA,
100041,Marion County Drug Treatment Court,887657,Dove House,
100041,Marion County Drug Treatment Court,439704001,CareSource (https://www.caresource.com/),
100041,Marion County Drug Treatment Court,100075,CenterStone,
100041,Marion County Drug Treatment Court,864837,Goodwill,
100041,Marion County Drug Treatment Court,863259,PACE,
100041,Marion County Drug Treatment Court,258068634,Recycle Force,
100041,Marion County Drug Treatment Court,866459,Fathers and Families ,
100041,Marion County Drug Treatment Court,864254,Pathway to Recovery Inc.,
100041,Marion County Drug Treatment Court,864949,IVY Tech,
863580,HVAF,883928,Richard Roudebush VAMC,
863580,HVAF,863327,Salvation Army Harbor Light,
883928,Richard Roudebush VAMC,863580,HVAF,
867124,Marion County Jail,100053,Valle Vista,
867124,Marion County Jail,863259,PACE,
867124,Marion County Jail,868200,Eskenazi,
867124,Marion County Jail,867776,Seeds of Hope,
867124,Marion County Jail,884079,Aspire,
867124,Marion County Jail,100002,Clean Slate,
867124,Marion County Jail,864819,Community Outreach Network Services (CONS),
867124,Marion County Jail,865769,Cummins Behavioral Health Systems,
867124,Marion County Jail,100006,Healing Solutions,
867124,Marion County Jail,864149,Progress House,
867124,Marion County Jail,863426,Midtown Mental Health Addiction Services,
867125,Marion County Jail,100053,Valle Vista,
867125,Marion County Jail,863259,PACE,
867125,Marion County Jail,868200,Eskenazi,
867125,Marion County Jail,867776,Seeds of Hope,
867125,Marion County Jail,884079,Aspire,
867125,Marion County Jail,100002,Clean Slate,
867125,Marion County Jail,864819,Community Outreach Network Services (CONS),
867125,Marion County Jail,865769,Cummins Behavioral Health Systems,
867125,Marion County Jail,100006,Healing Solutions,
867125,Marion County Jail,864149,Progress House,
867125,Marion County Jail,863426,Midtown Mental Health Addiction Services,
